"GEOID","NAME","vacancy_totalE","vacancy_totalM","for_rentE","for_rentM","rented_not_occE","rented_not_occM","for_saleE","for_saleM","sold_not_occE","sold_not_occM","seasonal_rec_occaisionalE","seasonal_rec_occaisionalM","migrant_workerE","migrant_workerM","other_vacantE","other_vacantM"
"13361","ZCTA5 13361",121,42,0,12,0,12,0,12,0,12,44,32,0,12,77,35
"13365","ZCTA5 13365",1004,162,54,62,0,17,167,82,0,17,236,100,21,23,526,143
"13367","ZCTA5 13367",1050,172,134,116,0,17,71,51,0,17,744,111,7,9,94,78
"13421","ZCTA5 13421",638,237,60,91,0,19,112,87,23,31,46,56,0,19,397,191
"13424","ZCTA5 13424",106,42,0,12,0,12,17,20,14,23,15,16,0,12,60,35
"13425","ZCTA5 13425",120,66,6,9,7,11,0,12,42,56,24,25,0,12,41,29
"13428","ZCTA5 13428",159,77,0,12,0,12,0,12,0,12,40,42,0,12,119,72
"13438","ZCTA5 13438",784,121,29,23,0,12,47,29,0,12,621,119,0,12,87,40
"13469","ZCTA5 13469",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"13471","ZCTA5 13471",251,56,0,12,0,12,33,35,9,14,113,42,0,12,96,44
"13477","ZCTA5 13477",192,104,0,12,37,54,0,12,0,12,55,53,0,12,100,75
"13480","ZCTA5 13480",223,67,12,19,7,8,14,17,11,16,46,35,0,12,133,62
"13492","ZCTA5 13492",406,169,64,76,118,112,33,42,0,19,0,19,0,19,191,116
"12203","ZCTA5 12203",1186,272,542,175,74,89,81,75,8,12,36,36,0,25,445,169
"12204","ZCTA5 12204",218,70,10,16,33,39,28,30,14,22,0,17,0,17,133,61
"12206","ZCTA5 12206",1612,296,176,111,184,137,117,72,15,25,68,88,0,19,1052,220
"12010","ZCTA5 12010",2091,265,198,103,187,87,112,71,42,37,130,97,0,22,1422,213
"12018","ZCTA5 12018",399,170,23,37,0,17,0,17,0,17,186,114,0,17,190,138
"12032","ZCTA5 12032",922,81,0,12,3,4,18,19,0,12,871,80,0,12,30,25
"12041","ZCTA5 12041",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"12046","ZCTA5 12046",35,40,0,12,0,12,0,12,0,12,0,12,0,12,35,40
"12068","ZCTA5 12068",335,98,14,18,21,21,0,12,8,12,0,12,0,12,292,97
"12071","ZCTA5 12071",97,38,0,12,0,12,9,14,10,16,74,34,0,12,4,8
"12072","ZCTA5 12072",170,52,5,8,0,12,0,12,0,12,51,42,0,12,114,42
"12074","ZCTA5 12074",388,112,0,12,0,12,0,12,0,12,335,113,0,12,53,40
"12095","ZCTA5 12095",447,204,37,59,31,42,80,82,0,19,65,77,0,19,234,126
"12138","ZCTA5 12138",503,95,26,26,0,12,16,20,0,12,326,82,0,12,135,54
"12009","ZCTA5 12009",180,82,73,68,0,17,36,32,0,17,0,17,0,17,71,54
"12025","ZCTA5 12025",925,155,0,17,46,73,9,14,11,17,669,177,0,17,190,106
"12047","ZCTA5 12047",1000,221,251,117,106,78,0,22,77,63,0,22,0,22,566,197
"12052","ZCTA5 12052",144,62,16,25,0,12,0,12,0,12,91,54,0,12,37,35
"12058","ZCTA5 12058",188,96,0,12,0,12,0,12,0,12,99,70,0,12,89,81
"12063","ZCTA5 12063",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"12064","ZCTA5 12064",157,71,0,12,0,12,35,38,0,12,55,42,0,12,67,42
"12076","ZCTA5 12076",862,89,3,4,0,12,16,12,7,12,766,86,0,12,70,36
"12120","ZCTA5 12120",132,48,0,12,0,12,0,12,8,13,104,43,0,12,20,22
"12125","ZCTA5 12125",222,80,30,34,0,12,12,17,6,9,56,44,0,12,118,69
"12150","ZCTA5 12150",71,66,0,12,0,12,0,12,0,12,0,12,0,12,71,66
"12188","ZCTA5 12188",456,206,123,107,0,19,0,19,78,104,23,36,0,19,232,128
"12192","ZCTA5 12192",73,66,0,12,0,12,0,12,0,12,50,58,0,12,23,35
"12207","ZCTA5 12207",168,78,64,50,0,12,0,12,0,12,0,12,0,12,104,69
"11754","ZCTA5 11754",526,168,48,67,15,25,42,41,68,71,29,45,0,19,324,128
"11795","ZCTA5 11795",258,125,0,22,0,22,83,74,77,67,35,54,0,22,63,58
"11957","ZCTA5 11957",496,88,0,12,0,12,4,6,10,15,450,87,0,12,32,23
"11201","ZCTA5 11201",2852,481,496,174,235,106,188,125,162,126,656,203,0,28,1115,304
"11231","ZCTA5 11231",1307,296,196,125,212,160,176,108,49,43,89,76,0,25,585,219
"11417","ZCTA5 11417",750,153,48,36,26,30,84,62,63,49,108,58,12,20,409,135
"11109","ZCTA5 11109",1600,413,249,182,101,116,0,17,0,17,1223,382,0,17,27,45
"11351","ZCTA5 11351",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11359","ZCTA5 11359",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11424","ZCTA5 11424",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11425","ZCTA5 11425",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11451","ZCTA5 11451",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11549","ZCTA5 11549",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11556","ZCTA5 11556",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11739","ZCTA5 11739",60,45,0,12,21,32,0,12,0,12,30,48,0,12,9,13
"11749","ZCTA5 11749",125,57,19,28,0,12,41,44,27,25,0,12,0,12,38,42
"11794","ZCTA5 11794",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
"11931","ZCTA5 11931",98,74,0,12,0,12,0,12,0,12,78,65,0,12,20,33
"11973","ZCTA5 11973",139,62,46,37,0,12,0,12,0,12,47,53,0,12,46,40
